,Year,Country_Code,Country_Name,Population_Density,People_Near_Rapid_Transit,Transit_Legend
1738,2013,DNK,Denmark,11145.86477816934,0.6108155338677603,0.6108155338677603
1739,2014,DNK,Denmark,11377.48185903242,0.6081431626563442,0.6081431626563442
1740,2015,DNK,Denmark,11609.0989398955,0.605470791444928,0.605470791444928
1741,2016,DNK,Denmark,11856.5571500136,0.6100484839670326,0.6100484839670326
1742,2017,DNK,Denmark,12104.015360131702,0.6146261764891372,0.6146261764891372
1743,2018,DNK,Denmark,12351.4735702498,0.6192038690112418,0.6192038690112418
1744,2019,DNK,Denmark,12598.9317803679,0.6237815615333464,0.6237815615333464
1745,2020,DNK,Denmark,12846.389990486,0.628359254055451,0.628359254055451
1746,2021,DNK,Denmark,13052.284683139926,0.6226371384028202,0.6226371384028202
1747,2022,DNK,Denmark,13258.17937579385,0.6169150227501895,0.6169150227501895
1748,2023,DNK,Denmark,13464.074068447777,0.6111929070975588,0.6111929070975588
1749,2024,DNK,Denmark,13669.9687611017,0.605470791444928,0.605470791444928
2150,1975,FRA,France,12669.9923024714,0.32771521321028,0.32771521321028
2151,1976,FRA,France,12683.83379454362,0.3351014886953642,0.3351014886953642
2152,1977,FRA,France,12697.67528661584,0.3424877641804484,0.3424877641804484
2153,1978,FRA,France,12711.51677868806,0.3498740396655326,0.3498740396655326
2154,1979,FRA,France,12725.35827076028,0.3572603151506168,0.3572603151506168
2155,1980,FRA,France,12739.1997628325,0.364646590635701,0.364646590635701
2156,1981,FRA,France,12792.91827089816,0.3672665471700356,0.3672665471700356
2157,1982,FRA,France,12846.63677896382,0.3698865037043702,0.3698865037043702
2158,1983,FRA,France,12900.35528702948,0.3725064602387047,0.3725064602387047
2159,1984,FRA,France,12954.07379509514,0.3751264167730394,0.3751264167730394
2160,1985,FRA,France,13007.7923031608,0.377746373307374,0.377746373307374
2161,1986,FRA,France,13081.33944731416,0.3771855957982793,0.3771855957982793
2162,1987,FRA,France,13154.88659146752,0.3766248182891847,0.3766248182891847
2163,1988,FRA,France,13228.43373562088,0.3760640407800902,0.3760640407800902
2164,1989,FRA,France,13301.98087977424,0.3755032632709956,0.3755032632709956
2165,1990,FRA,France,13375.5280239276,0.374942485761901,0.374942485761901
2166,1991,FRA,France,13377.74817917666,0.3798674288674312,0.3798674288674312
2167,1992,FRA,France,13379.96833442572,0.3847923719729614,0.3847923719729614
2168,1993,FRA,France,13382.18848967478,0.3897173150784915,0.3897173150784915
2169,1994,FRA,France,13384.40864492384,0.3946422581840217,0.3946422581840217
2170,1995,FRA,France,13386.6288001729,0.399567201289552,0.399567201289552
2171,1996,FRA,France,13412.01534485422,0.4012658613468006,0.4012658613468006
2172,1997,FRA,France,13437.40188953554,0.4029645214040492,0.4029645214040492
2173,1998,FRA,France,13462.78843421686,0.4046631814612977,0.4046631814612977
2174,1999,FRA,France,13488.17497889818,0.4063618415185464,0.4063618415185464
2175,2000,FRA,France,13513.5615235795,0.408060501575795,0.408060501575795
2176,2001,FRA,France,13591.76525445142,0.4103095724963362,0.4103095724963362
2177,2002,FRA,France,13669.96898532334,0.4125586434168774,0.4125586434168774
2178,2003,FRA,France,13748.17271619526,0.4148077143374186,0.4148077143374186
2179,2004,FRA,France,13826.37644706718,0.4170567852579598,0.4170567852579598
2180,2005,FRA,France,13904.5801779391,0.419305856178501,0.419305856178501
2181,2006,FRA,France,13989.39210578844,0.4246599077580284,0.4246599077580284
2182,2007,FRA,France,14074.20403363778,0.4300139593375558,0.4300139593375558
2183,2008,FRA,France,14159.01596148712,0.4353680109170832,0.4353680109170832
2184,2009,FRA,France,14243.82788933646,0.4407220624966106,0.4407220624966106
2185,2010,FRA,France,14328.6398171858,0.446076114076138,0.446076114076138
2186,2011,FRA,France,14390.26564184576,0.4549472450970466,0.4549472450970466
2187,2012,FRA,France,14451.89146650572,0.4638183761179552,0.4638183761179552
2188,2013,FRA,France,14513.51729116568,0.4726895071388638,0.4726895071388638
2189,2014,FRA,France,14575.14311582564,0.4815606381597724,0.4815606381597724
2190,2015,FRA,France,14636.7689404856,0.490431769180681,0.490431769180681
2191,2016,FRA,France,14647.80655164178,0.4882333237474414,0.4882333237474414
2192,2017,FRA,France,14658.84416279796,0.4860348783142018,0.4860348783142018
2193,2018,FRA,France,14669.88177395414,0.4838364328809622,0.4838364328809622
2194,2019,FRA,France,14680.91938511032,0.4816379874477226,0.4816379874477226
2195,2020,FRA,France,14691.9569962665,0.479439542014483,0.479439542014483
2196,2021,FRA,France,14748.07192177305,0.4821875988060325,0.4821875988060325
2197,2022,FRA,France,14804.1868472796,0.484935655597582,0.484935655597582
2198,2023,FRA,France,14860.30177278615,0.4876837123891315,0.4876837123891315
2199,2024,FRA,France,14916.4166982927,0.490431769180681,0.490431769180681
2350,1975,DEU,Germany,9222.70949139846,0.25671290889982,0.25671290889982
2351,1976,DEU,Germany,9144.79391774492,0.2645379560835672,0.2645379560835672
2352,1977,DEU,Germany,9066.87834409138,0.2723630032673144,0.2723630032673144
2353,1978,DEU,Germany,8988.96277043784,0.2801880504510616,0.2801880504510616
2354,1979,DEU,Germany,8911.047196784299,0.2880130976348088,0.2880130976348088
2355,1980,DEU,Germany,8833.13162313076,0.295838144818556,0.295838144818556
2356,1981,DEU,Germany,8745.821290413263,0.3030084534562176,0.3030084534562176
2357,1982,DEU,Germany,8658.510957695768,0.3101787620938792,0.3101787620938792
2358,1983,DEU,Germany,8571.200624978272,0.3173490707315408,0.3173490707315408
2359,1984,DEU,Germany,8483.890292260776,0.3245193793692024,0.3245193793692024
2360,1985,DEU,Germany,8396.57995954328,0.331689688006864,0.331689688006864
2361,1986,DEU,Germany,8428.54531167644,0.3388807435126742,0.3388807435126742
2362,1987,DEU,Germany,8460.5106638096,0.3460717990184844,0.3460717990184844
2363,1988,DEU,Germany,8492.476015942759,0.3532628545242946,0.3532628545242946
2364,1989,DEU,Germany,8524.441368075919,0.3604539100301048,0.3604539100301048
2365,1990,DEU,Germany,8556.40672020908,0.367644965535915,0.367644965535915
2366,1991,DEU,Germany,8511.968292235206,0.3707484617914122,0.3707484617914122
2367,1992,DEU,Germany,8467.529864261332,0.3738519580469094,0.3738519580469094
2368,1993,DEU,Germany,8423.091436287457,0.3769554543024066,0.3769554543024066
2369,1994,DEU,Germany,8378.653008313584,0.3800589505579038,0.3800589505579038
2370,1995,DEU,Germany,8334.21458033971,0.383162446813401,0.383162446813401
2371,1996,DEU,Germany,8259.48373439947,0.3870956680111014,0.3870956680111014
2372,1997,DEU,Germany,8184.75288845923,0.3910288892088018,0.3910288892088018
2373,1998,DEU,Germany,8110.02204251899,0.3949621104065022,0.3949621104065022
2374,1999,DEU,Germany,8035.29119657875,0.3988953316042026,0.3988953316042026
2375,2000,DEU,Germany,7960.56035063851,0.402828552801903,0.402828552801903
2376,2001,DEU,Germany,7936.73349565242,0.4041251422542396,0.4041251422542396
2377,2002,DEU,Germany,7912.90664066633,0.4054217317065762,0.4054217317065762
2378,2003,DEU,Germany,7889.07978568024,0.4067183211589128,0.4067183211589128
2379,2004,DEU,Germany,7865.25293069415,0.4080149106112494,0.4080149106112494
2380,2005,DEU,Germany,7841.42607570806,0.409311500063586,0.409311500063586
2381,2006,DEU,Germany,7842.438228608442,0.4094638668823526,0.4094638668823526
2382,2007,DEU,Germany,7843.450381508824,0.4096162337011192,0.4096162337011192
2383,2008,DEU,Germany,7844.4625344092065,0.4097686005198858,0.4097686005198858
